onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.807399	1	SS30	 1	100pGo           	0	1	   1	489.298
4.810034	1	SS30	 2	25pStop          	1	0	0.25	    NaN
9.308315	1	SS30	 3	25pStop          	1	0	0.25	    NaN
 15.3148	1	SS30	 4	StopTrialResponse	0	1	0.75	501.856
28.80952	1	SS30	 5	StopTrialResponse	0	1	0.25	548.874
33.30193	1	SS30	 6	StopTrialResponse	0	1	0.75	516.514
39.31475	1	SS30	 7	StopTrialResponse	0	1	   0	539.895
45.30438	1	SS30	 8	100pGo           	0	1	   1	538.843
49.80827	1	SS30	 9	50pStop          	1	0	 0.5	    NaN
60.30799	1	SS30	10	50pStop          	1	0	 0.5	    NaN
66.30529	1	SS30	11	StopTrialResponse	0	1	0.75	421.342
73.80289	1	SS30	12	StopTrialResponse	0	1	 0.5	539.544
85.80004	1	SS30	13	100pGo           	0	1	   1	553.194
97.80769	1	SS30	14	StopTrialResponse	0	1	0.75	539.281
 102.306	1	SS30	15	100pGo           	0	1	   1	552.301
112.7902	1	SS30	16	StopTrialResponse	0	1	0.25	552.473
118.7952	1	SS30	17	100pGo           	0	1	   1	553.077
   126.3	1	SS30	18	0pStop           	1	0	   0	    NaN
130.8025	1	SS30	19	StopTrialResponse	0	1	0.75	539.545
139.7945	1	SS30	20	0pStop           	1	0	   0	    NaN
142.7955	1	SS30	21	25pStop          	1	0	0.25	    NaN
 147.299	1	SS30	22	StopTrialResponse	0	1	0.75	548.772
153.2964	1	SS30	23	StopTrialResponse	0	1	0.75	539.251
163.7972	1	SS30	24	50pStop          	1	0	 0.5	    NaN
171.2957	1	SS30	25	100pGo           	0	1	   1	538.762
175.8026	1	SS30	26	100pGo           	0	1	   1	 499.03
184.7989	1	SS30	27	25pStop          	1	0	0.25	    NaN
198.2989	1	SS30	28	0pStop           	1	0	   0	    NaN
210.2961	1	SS30	29	50pStop          	1	0	 0.5	    NaN
 214.791	1	SS30	30	StopTrialResponse	0	1	0.75	455.894
219.2978	1	SS30	31	25pStop          	1	0	0.25	    NaN
223.7904	1	SS30	32	0pStop           	1	0	   0	    NaN
228.2948	1	SS30	33	StopTrialResponse	0	1	 0.5	540.875
232.7921	1	SS30	34	StopTrialResponse	0	1	 0.5	553.942
238.7832	1	SS30	35	100pGo           	0	1	   1	551.227
243.2916	1	SS30	36	StopTrialResponse	0	1	0.75	538.251
249.2989	1	SS30	37	50pStop          	1	0	 0.5	    NaN
258.2877	1	SS30	38	StopTrialResponse	0	1	0.75	539.053
270.2978	1	SS30	39	100pGo           	0	1	   1	539.705
276.2874	1	SS30	40	StopTrialResponse	0	1	   0	538.096
285.2897	1	SS30	41	0pStop           	1	0	   0	    NaN
 295.789	1	SS30	42	25pStop          	1	0	0.25	    NaN
306.2905	1	SS30	43	0pStop           	1	0	   0	    NaN
313.7798	1	SS30	44	50pStop          	1	0	 0.5	    NaN
 318.289	1	SS30	45	StopTrialResponse	0	1	 0.5	 539.09
322.7849	1	SS30	46	0pStop           	1	0	   0	    NaN
336.2901	1	SS30	47	StopTrialResponse	0	1	0.75	503.761
340.7834	1	SS30	48	25pStop          	1	0	0.25	    NaN
352.7793	1	SS30	49	StopTrialResponse	0	1	0.75	520.197
355.7797	1	SS30	50	StopTrialResponse	0	1	0.25	539.043
358.7824	1	SS30	51	StopTrialResponse	0	1	0.75	538.923
361.7848	1	SS30	52	75pStop          	1	0	0.75	    NaN
366.2805	1	SS30	53	StopTrialResponse	0	1	   0	 506.73
 370.783	1	SS30	54	25pStop          	1	0	0.25	    NaN
379.7836	1	SS30	55	25pStop          	1	0	0.25	    NaN
 385.775	1	SS30	56	0pStop           	1	0	   0	    NaN
390.2708	1	SS30	57	StopTrialResponse	0	1	0.25	553.626
397.7835	1	SS30	58	StopTrialResponse	0	1	   0	521.517
400.7709	1	SS30	59	100pGo           	0	1	   1	536.679
403.7791	1	SS30	60	0pStop           	1	0	   0	    NaN
409.7762	1	SS30	61	StopTrialResponse	0	1	   0	522.618
414.2786	1	SS30	62	StopTrialResponse	0	1	 0.5	549.139
420.2769	1	SS30	63	100pGo           	0	1	   1	522.495
426.2756	1	SS30	64	100pGo           	0	1	   1	498.902
430.7846	1	SS30	65	StopTrialResponse	0	1	0.25	549.091
435.2776	1	SS30	66	StopTrialResponse	0	1	0.75	551.682
439.7701	1	SS30	67	100pGo           	0	1	   1	537.959
 444.281	1	SS30	68	100pGo           	0	1	   1	506.109
457.7742	1	SS30	69	50pStop          	1	0	 0.5	    NaN
462.2801	1	SS30	70	StopTrialResponse	0	1	 0.5	539.404
465.2781	1	SS30	71	100pGo           	0	1	   1	549.932
471.2713	1	SS30	72	0pStop           	1	0	   0	    NaN
477.2763	1	SS30	73	StopTrialResponse	0	1	 0.5	539.819
490.7701	1	SS30	74	StopTrialResponse	0	1	 0.5	548.642
493.7667	1	SS30	75	25pStop          	1	0	0.25	    NaN
